%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82263.686,300.956,0.952,0,-0.174,-0.112,-7.133,-4.235,-2.245,-1.044,-1.943,-4.774,-5.232,-5.885,-3.014,-1.667,0.423,-5.522,0.523,-1.149,-3.317,-3.715,-0.006,-0.057,0.009,0,535.048,336.269
82255.623,300.956,0.952,0,-0.095,-0.112,-5.945,-5.127,-1.924,-1.461,-0.972,-5.086,-5.339,-4.601,-4.018,-1.98,0.634,-5.735,0.523,-1.254,-2.384,-4.277,-0.016,-0.057,0.02,0,535.048,336.269
82259.655,300.954,0.952,0,-0.016,-0.112,-6.269,-4.124,-2.565,-1.253,-1.295,-4.67,-5.659,-4.922,-3.125,-2.709,0.528,-5.735,0.628,-1.254,-2.695,-3.715,0.005,-0.038,0.009,0,535.048,336.269
82255.623,300.952,0.952,0,-0.095,-0.272,-7.35,-5.015,-1.924,-2.192,-1.511,-4.878,-5.659,-5.029,-3.237,-1.771,-0.211,-5.629,1.152,-1.463,-2.28,-3.715,-0.027,-0.019,0.03,0,535.048,336.269
82255.623,300.954,0.952,0,-0.016,-0.112,-6.161,-4.793,-2.031,-1.566,-2.591,-4.463,-5.232,-5.029,-3.46,-1.876,1.057,-6.691,0.419,-1.149,-3.317,-3.94,-0.016,-0.019,0.02,0,535.048,336.269
82259.655,300.952,0.952,0,-0.174,-0.272,-6.485,-4.793,-2.779,-1.879,-1.403,-5.604,-5.979,-4.815,-3.46,-2.084,0.211,-5.735,0.209,-1.567,-2.902,-4.503,-0.006,-0.019,0.009,0,535.048,336.269
82259.655,300.952,0.952,0,-0.332,-0.272,-6.485,-4.458,-2.138,-1.357,-1.187,-4.463,-5.659,-5.671,-3.125,-2.292,0.845,-6.16,1.152,-1.672,-2.384,-3.827,0.005,-0.057,0.03,0,535.048,336.269
82251.592,300.951,0.952,0.364,0.063,-0.272,-7.674,-4.793,-2.565,-2.192,-1.403,-4.255,-4.912,-5.243,-3.348,-1.98,-0.211,-5.841,0.942,-1.254,-2.28,-3.94,-0.006,0,0.03,-0.001,535.048,336.269
82263.686,300.951,0.952,0,-0.174,-0.432,-6.269,-5.238,-2.459,-1.357,-1.511,-4.982,-5.552,-5.029,-3.572,-2.292,0.74,-6.797,0.105,-1.358,-2.695,-4.165,-0.006,-0.038,0.03,0,535.048,336.269
82255.623,300.954,0.952,0,-0.174,-0.112,-6.917,-3.901,-2.886,-2.296,-1.835,-5.397,-5.446,-5.029,-2.903,-2.396,0.528,-5.735,0,-0.94,-3.006,-5.065,-0.006,-0.038,0.009,-0.001,535.048,336.269
82255.623,300.951,0.952,0,-0.095,-0.112,-6.485,-3.789,-1.817,-1.775,-1.835,-4.567,-6.3,-5.243,-2.679,-1.876,0.528,-5.947,0.628,-1.985,-2.695,-3.715,-0.006,-0.057,-0.001,0.001,535.048,336.269
82259.655,300.952,0.952,0,-0.095,-0.432,-6.809,-4.458,-1.924,-1.253,-1.511,-4.463,-5.339,-5.778,-3.349,-1.876,0.528,-5.416,0.628,-0.836,-3.006,-4.052,0.005,-0.057,0.02,0,535.048,336.269
82259.655,300.952,0.952,0,-0.016,-0.112,-6.809,-5.238,-2.245,-1.67,-1.727,-4.878,-5.552,-5.243,-3.461,-2.084,0.528,-6.584,0.942,-1.045,-3.006,-4.503,0.005,-0.019,0.03,0,535.048,336.269
82255.623,300.952,0.952,0,-0.174,-0.112,-6.917,-3.789,-2.779,-1.566,-1.511,-5.293,-5.339,-4.815,-2.903,-2.396,0.423,-5.522,0.523,-1.254,-2.384,-3.602,-0.006,-0.038,0.02,0,535.048,336.269
82255.623,300.951,0.952,0,-0.411,-0.112,-6.917,-4.681,-1.817,-2.192,-1.511,-4.567,-5.873,-4.922,-3.014,-1.459,0.106,-5.629,0.942,-1.672,-1.762,-3.489,0.005,-0.057,0.02,0,535.048,336.269
82259.655,300.952,0.952,0,-0.016,-0.112,-6.377,-4.681,-2.031,-1.461,-1.619,-4.567,-5.659,-5.671,-3.349,-1.563,0.739,-5.947,0.523,-0.731,-3.109,-3.602,-0.006,-0.038,0.03,-0.001,535.048,336.269
